"filename", "language", "Go", "comment", "blank", "total"
"/Users/qujiale/code/sonar/6/mpgw/internal/bytesconv/bytesconv.go", "Go", 10, 7, 5, 22
"/Users/qujiale/code/sonar/6/mpgw/internal/bytesconv/bytesconv_test.go", "Go", 76, 6, 18, 100
"/Users/qujiale/code/sonar/6/mpgw/internal/json/go_json.go", "Go", 9, 9, 5, 23
"/Users/qujiale/code/sonar/6/mpgw/internal/json/json.go", "Go", 9, 9, 5, 23
"/Users/qujiale/code/sonar/6/mpgw/internal/json/jsoniter.go", "Go", 10, 9, 5, 24
"/Users/qujiale/code/sonar/6/mpgw/internal/json/sonic.go", "Go", 10, 9, 5, 24
"Total", "-", 124, 49, 43, 216
